Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
530023,THEINVEST,B,84.25,87.09,82.95,85.75,9005,7.70,181
532850,MIC,T,30.00,30.00,29.65,29.65,25766,7.67,53
539938,MIL,X,78.01,79.99,76.50,79.98,9801,7.64,31
543625,SECURCRED,B,17.13,17.35,15.84,15.99,47158,7.64,195
511108,SHIVTEX,B,151.30,156.80,140.00,142.45,5222,7.64,201
532728,MALUPAPER,B,40.75,41.35,36.71,37.61,19657,7.63,357
522231,CONART,X,47.31,49.30,47.00,47.50,15979,7.62,71
540403,CLEDUCATE,B,77.05,77.05,72.95,73.27,10309,7.61,187
543324,GCSL,M,320.00,320.00,306.50,306.50,2430,7.61,3
536659,PVVINFRA,XT,17.82,17.83,16.15,16.15,45004,7.60,104
532896,MAGNUM,T,40.00,40.50,38.03,38.06,19470,7.59,87
506734,MYSORPETRO,X,169.45,169.45,156.80,159.80,4721,7.57,70
530883,SUCROSA,XT,8.40,8.45,8.11,8.38,91106,7.56,144
530663,GOYALASS,XT,1.72,1.72,1.60,1.64,464803,7.55,317
514274,AARVEEDEN,B,28.99,28.99,24.01,24.18,30488,7.53,222
543594,DPL,M,25.80,25.80,24.10,25.00,30000,7.53,10
507498,PICCASUG,XT,33.80,33.80,32.18,32.18,23254,7.52,175
532815,SMSPHARMA,B,125.50,127.05,120.90,123.90,6060,7.50,281
530419,SUMEDHA,X,39.20,39.61,38.50,38.98,19219,7.49,151
520066,JAYBARMARU,B,284.00,284.60,270.70,271.00,2694,7.46,159
517393,VINTRON,XT,4.07,4.23,4.00,4.06,185256,7.45,180
503657,VEERENRGY,X,14.26,14.79,13.89,14.29,52190,7.44,162
532841,SAHYADRI,B,458.90,458.90,425.00,425.00,1699,7.43,240
530695,PRIMEPRO,XT,23.46,23.46,23.46,23.46,31592,7.41,32
543515,SEML,M,106.50,106.50,105.00,105.00,7000,7.40,6
532219,ENERGYDEV,B,20.00,20.34,18.20,18.58,39512,7.38,381
533316,STEL,T,209.00,209.00,200.00,200.00,3616,7.36,79
538882,EMERALD,X,19.71,20.20,19.31,20.00,37295,7.36,124
523628,PODDAR,B,96.32,102.50,96.00,98.06,7465,7.35,105
508933,AYMSYNTEX,B,69.10,69.20,66.00,66.00,10645,7.30,171
514316,RAGHUSYN,XT,130.00,133.80,124.45,128.50,5706,7.29,90
539574,SCL,XT,39.36,39.36,38.58,39.36,18845,7.27,25
539479,GTV,X,353.95,353.95,319.90,337.00,2190,7.26,122
523606,SIKA,XT,1043.80,1043.80,1043.80,1043.80,696,7.26,47
530979,INDIAHOME,X,27.00,27.00,23.41,24.48,29313,7.26,191
540651,JIGAR,M,42.60,47.97,42.56,47.90,16000,7.24,4
543543,BRRL,M,131.00,133.00,126.40,130.20,5600,7.24,7
533298,SURANASOL,T,24.43,24.60,23.21,23.50,30520,7.21,249
538634,VRL,X,204.90,205.00,194.00,194.00,3640,7.20,122
543267,DAVANGERE,X,107.55,109.50,105.00,105.00,6782,7.20,66
533012,LPDC,B,7.64,7.64,6.60,6.85,102484,7.11,288
539013,GITARENEW,XT,127.50,131.50,123.50,128.90,5558,7.10,190
531869,SACHEMT,X,19.12,19.77,18.75,19.00,37450,7.10,204
543226,UTIBANKETF,B,46.39,46.45,46.00,46.29,15319,7.08,112
511509,VIVOBIOT,X,34.12,34.12,31.00,31.00,22147,7.06,189
532290,BLBLIMITED,B,23.45,24.24,21.76,21.76,30465,7.05,446
507785,TAINWALCHM,B,132.45,135.05,122.00,127.10,5432,7.04,182
537326,CHEMTECH,XT,39.00,39.00,37.50,38.26,18295,7.02,23
539113,PML,XT,1958.80,1958.80,1902.25,1910.00,366,6.98,38
512097,SAICOM,X,0.47,0.48,0.44,0.46,1532874,6.97,2169
500041,BANARISUG,B,2611.05,2850.00,2611.05,2721.00,249,6.94,82
511208,IVC,T,8.00,8.30,7.70,7.70,88366,6.91,285
539143,PANTH,X,8.24,8.24,7.90,8.09,85618,6.88,446
533202,SATCH,X,2.98,2.98,2.70,2.70,246338,6.88,173
543207,NATURAL,XT,9.52,9.99,9.45,9.88,71241,6.88,83
542383,RITCO,T,254.50,254.50,245.05,248.00,2739,6.83,35
532987,RBL,B,798.00,821.10,775.50,788.70,857,6.83,212
511463,ALEXANDER,X,15.68,16.27,15.10,15.95,43904,6.83,131
524790,EVERESTO,X,125.90,131.80,121.05,123.00,5468,6.83,119
519097,RITESHIN,XT,34.27,34.72,33.00,33.90,20356,6.82,218
509438,BENARAS,X,5767.00,5767.00,5500.00,5598.00,121,6.79,62
540735,IRIS,T,101.75,101.90,97.40,99.90,6885,6.78,56
524564,GAYATRIBI,XT,10.48,10.98,9.96,10.85,65030,6.77,137
532256,NSIL,B,2712.75,2715.25,2528.90,2605.00,262,6.76,138
530109,ANUPAM,X,1.74,1.75,1.67,1.67,398416,6.75,488
513502,BAROEXT,X,2.87,2.97,2.75,2.95,231631,6.73,189
526315,DIVSHKT,X,80.00,80.00,75.00,77.19,8717,6.72,125
523021,RISHITECH,X,26.00,27.00,25.51,26.39,25804,6.72,65
502281,TRIVENIGQ,XT,18.98,19.25,18.10,18.80,36109,6.71,220
543513,UMAEXPORTS,T,49.05,50.50,46.60,47.02,13982,6.71,273
540669,UTINEXT50,B,49.40,49.40,47.92,48.19,13819,6.67,202
531977,CHLOGIST,X,5.40,5.60,5.14,5.31,124681,6.66,267
538351,AFEL,XT,6.08,6.08,5.70,5.70,115858,6.62,222
543326,ICICIFMCG,B,536.00,540.00,534.30,538.00,1234,6.61,112
504084,KAYCEEI,XT,11400.00,11400.00,10900.00,11394.95,60,6.61,32
512493,GARNETINT,X,50.88,50.98,47.22,49.05,13412,6.55,112
530199,THEMISMED,B,1680.00,1680.00,1575.10,1606.00,413,6.55,141
532935,ARIES,B,185.00,185.40,174.40,175.85,3670,6.53,264
526953,VENUSREM,T,234.00,234.80,230.30,230.65,2790,6.52,21
522073,HITECHGEAR,B,392.40,393.75,378.55,387.50,1688,6.52,214
524330,JAYAGROGN,B,219.00,219.00,203.00,208.00,3116,6.51,388
504378,NYSSACORP,X,5.40,5.70,5.03,5.11,124938,6.51,306
526423,KRITIIND,B,110.70,110.70,105.00,106.95,6038,6.48,303
500280,CENTENKA,B,440.05,440.05,424.90,426.95,1507,6.47,132
501314,PRISMX,XT,1.90,1.90,1.90,1.90,338204,6.42,508
530545,COSCO,XT,212.80,215.00,212.50,212.50,3024,6.42,15
526117,SHERVANI,X,500.00,500.00,477.80,477.80,1327,6.40,67
532141,ACL,T,101.00,102.75,97.55,99.75,6474,6.40,136
532398,UMESLTD,T,8.02,8.02,7.26,7.57,83094,6.39,228
542233,TREJHARA,T,108.95,108.95,108.95,108.95,5866,6.39,23
542721,ARL,B,49.98,49.98,43.00,44.45,14254,6.39,133
